名前,父,母
ローズキングダム,キングカメハメハ,ローズバド
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
Miesque,Nureyev,Pasadoble
Nureyev,Northern Dancer,Special
Pasadoble,Prove Out,Santa Quilla
マンファス,ラストタイクーン,Pilot Bird
ラストタイクーン,トライマイベスト,Mill Princess
トライマイベスト,Northern Dancer,Sex Appeal
Mill Princess,Mill Reef,Irish Lass
Pilot Bird,Blakeney,The Dancer
Blakeney,Hethersett,Windmill Girl
The Dancer,Green Dancer,Khazaeen
ローズバド,サンデーサイレンス,ロゼカラー
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ロゼカラー,Shirley Heights,ローザネイ
Shirley Heights,Mill Reef,Hardiemma
Mill Reef,Never Bend,Milan Mill
Hardiemma,ハーディカヌート,Grand Cross
ローザネイ,Lyphard,Riviere Doree
Lyphard,Northern Dancer,Goofed
Riviere Doree,Secretariat,Riverqueen
